3.726000000000000000e+03 3.729000000000000000e+03 3.869000000000000000e+03
2.285440948074999973e-09 2.127992065669999966e-09 7.378532666400000376e-07
1.503038151314999967e-07 2.238566520880000253e-07 1.861958531275000228e-08
2.897143482135000289e-08 4.344802146430000138e-08 1.255943215755000066e-09
1.059180567625000126e-07 1.592098760864999917e-07 2.870582311035000207e-09
1.013841359760000032e-06 1.389856633880000047e-06 4.054805289270000453e-05
4.954159724465000196e-05 7.310885872300000772e-05 1.861958531275000159e-05
8.432765126950001330e-08 1.267564315250000224e-07 1.815390273849999910e-09
3.962506652400000613e-10 5.928843740849999717e-10 3.419558236405000581e-08
1.694220780695000049e-12 2.529123310014999922e-12 7.655437308400000136e-12
8.090400188200000723e-09 1.207730417219999874e-08 1.819575180635000160e-09
