3.726000000000000000e+03 3.729000000000000000e+03 3.869000000000000000e+03
4.570881896149999781e-08 4.255984131339999767e-08 1.475706533279999948e-05
3.006076302629999933e-06 4.477133041760000083e-06 3.723917062550000191e-07
5.794286964270000313e-07 8.689604292860000275e-07 2.511886431509999966e-08
2.118361135250000146e-06 3.184197521729999833e-06 5.741164622069999753e-08
2.027682719519999894e-05 2.779713267760000093e-05 8.109610578540000364e-04
9.908319448929999579e-04 1.462177174460000100e-03 3.723917062549999776e-04
1.686553025390000054e-06 2.535128630500000131e-06 3.630780547699999737e-08
7.925013304800000812e-09 1.185768748169999943e-08 6.839116472810000368e-07
3.388441561390000098e-11 5.058246620029999845e-11 1.531087461680000092e-10
1.618080037640000012e-07 2.415460834439999747e-07 3.639150361270000154e-08
