"Ly-alpha 1216A" 1216.0
"Fe13  1216A" 1216.0
"Fe 2  1216A" 1216.0
"O  5  1218A" 1218.0
"TOTL  1218A" 1218.0
"N  4  1221A" 1221.0
"N  4  1222A" 1222.0
"Al 1  1222A" 1222.0
"S  1  1224A" 1224.0
"Co20  1224A" 1224.0
"N  4  1224A" 1224.0
"Ni12  1225A" 1225.0
"Ti16  1225A" 1225.0
"N  4  1226A" 1226.0
"S  1  1227A" 1227.0
"N  4  1228A" 1228.0
"N  4  1230A" 1230.0
"N  4  1231A" 1231.0
"C  1  1233A" 1233.0
"N  4  1234A" 1234.0
"Fe11  1237A" 1237.0
"Fe24  1238A" 1238.0
"N  5  1239A" 1239.0
"N  4  1240A" 1240.0
"TOTL  1240A" 1240.0
"Fe12  1242A" 1242.0
"Ar10  1242A" 1242.0
"N  5  1243A" 1243.0
"Ca 2  1244A" 1244.0
"Al 1  1246A" 1246.0
"C  3  1247A" 1247.0
"C  1  1248A" 1248.0
"S  1  1250A" 1250.0
"Fe14  1250A" 1250.0
"C  1  1251A" 1251.0
"K 12  1256A" 1256.0
"S  2  1256A" 1256.0
"N  4  1256A" 1256.0
"Mg 2  1258A" 1258.0
"Fe19  1259A" 1259.0
"N  4  1260A" 1260.0
"diel  1260A" 1260.0
"Si 1  1261A" 1261.0
"Si 2  1263A" 1263.0
"S  1  1265A" 1265.0
"Co21  1266A" 1266.0
"N  4  1272A" 1272.0
"S  7  1273A" 1273.0
"Ni13  1277A" 1277.0
"N  4  1280A" 1280.0
"Ca17  1286A" 1286.0
"O  4  1289A" 1289.0
"Ti 3  1289A" 1289.0
"Ca14  1292A" 1292.0
"Mn22  1293A" 1293.0
"Ar10  1295A" 1295.0
"Al 1  1296A" 1296.0
"Ar13  1296A" 1296.0
"C  3  1296A" 1296.0
"O  4  1296A" 1296.0
"Ti 3  1298A" 1298.0
"Mn18  1298A" 1298.0
"Ar11  1304A" 1304.0
"Si 2  1308A" 1308.0
"P  2  1308A" 1308.0
"P  9  1308A" 1308.0
"C  1  1315A" 1315.0
"P  9  1318A" 1318.0
"P  1  1319A" 1319.0
"Ni 2  1324A" 1324.0
"Cl12  1324A" 1324.0
"Mg 5  1325A" 1325.0
"N  4  1325A" 1325.0
"Fe19  1329A" 1329.0
"Ar13  1330A" 1330.0
"C  2  1335A" 1335.0
"S  1  1336A" 1336.0
"B  2  1340A" 1340.0
"Cr17  1340A" 1340.0
"P  3  1341A" 1341.0
"O  4  1342A" 1342.0
"Ni12  1343A" 1343.0
"N  2  1345A" 1345.0
"Fe12  1349A" 1349.0
"Cl 1  1349A" 1349.0
"Fe14  1349A" 1349.0
